Mockito	1
t	org.mockito.internal.invocation.InvocationMatcherTest::should_capture_arguments_when_args_count_does_NOT_match
t	org.mockito.internal.util.reflection.FieldInitializerTest::can_instantiate_class_with_parameterized_constructor
t	org.mockito.internal.util.reflection.ParameterizedConstructorInstantiatorTest::should_report_failure_if_constructor_throws_exception
t	org.mockito.internal.util.reflection.ParameterizedConstructorInstantiatorTest::should_fail_if_an_argument_instance_type_do_not_match_wanted_type
t	org.mockito.internal.util.reflection.ParameterizedConstructorInstantiatorTest::should_instantiate_type_with_vararg_constructor
t	org.mockito.internal.util.reflection.ParameterizedConstructorInstantiatorTest::should_instantiate_type_if_resolver_provide_matching_types
t	org.mockitousage.basicapi.ResetTest::shouldRemoveAllStubbing
t	org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyWithNullVarArgArray
t	org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyWithAnyObject
t	org.mockitousage.basicapi.UsingVarargsTest::shouldStubBooleanVarargs
t	org.mockitousage.basicapi.UsingVarargsTest::shouldMatchEasilyEmptyVararg
t	org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyBooleanVarargs
t	org.mockitousage.basicapi.UsingVarargsTest::shouldStubCorrectlyWhenMixedVarargsUsed
t	org.mockitousage.basicapi.UsingVarargsTest::shouldStubStringVarargs
t	org.mockitousage.basicapi.UsingVarargsTest::shouldStubCorrectlyWhenDoubleStringAndMixedVarargsUsed
t	org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyStringVarargs
t	org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyObjectVarargs
t	org.mockitousage.bugs.VarargsErrorWhenCallingRealMethodTest::shouldNotThrowAnyException
t	org.mockitousage.bugs.varargs.VarargsAndAnyObjectPicksUpExtraInvocationsTest::shouldVerifyCorrectlyWithAnyVarargs
t	org.mockitousage.bugs.varargs.VarargsAndAnyObjectPicksUpExtraInvocationsTest::shouldVerifyCorrectlyNumberOfInvocationsUsingAnyVarargAndEqualArgument
t	org.mockitousage.bugs.varargs.VarargsNotPlayingWithAnyObjectTest::shouldStubUsingAnyVarargs
t	org.mockitousage.matchers.VerificationAndStubbingUsingMatchersTest::shouldVerifyUsingMatchers
t	org.mockitousage.stubbing.BasicStubbingTest::test_stub_only_not_verifiable
t	org.mockitousage.stubbing.BasicStubbingTest::should_evaluate_latest_stubbing_first
t	org.mockitousage.stubbing.DeprecatedStubbingTest::shouldEvaluateLatestStubbingFirst
t	org.mockitousage.verification.VerificationInOrderMixedWithOrdiraryVerificationTest::shouldUseEqualsToVerifyMethodVarargs
s	org.mockito.internal.invocation.InvocationMatcher	fixed:128	fixed:127	fixed:129	fixed:131	fixed:130	fixed:133	fixed:132	fixed:124	fixed:134	fixed:123	fixed:126	fixed:125
